,Model,Training Accuracy %,Testing Accuracy %,Accuracy Score,F1_Score_Macro,F1_Score_Weighted
0,Neural Network,1.0,0.6900369003690037,0.6900369003690037,0.673990154323474,0.6906207988264182
1,Decision Tree,1.0,0.6309963099630996,0.6309963099630996,0.6035452028343841,0.6305003813179533
2,Logistic Regression,0.9907663896583564,0.7638376383763837,0.7638376383763837,0.7450672595398646,0.7631458386333205
3,KNN,0.7077562326869806,0.5369003690036901,0.5369003690036901,0.4812216647746625,0.5284205310500028
4,Ensemble,1.0,0.7177121771217713,0.7177121771217713,0.695409714002151,0.7181740089312805
